Date,Adj Close,Return
03/01/1928,17.76,
04/01/1928,17.72,-0.002252309
05/01/1928,17.55,-0.00959368
06/01/1928,17.66,0.006267864
09/01/1928,17.50,-0.009060023
10/01/1928,17.37,-0.007428514
11/01/1928,17.35,-0.001151468
12/01/1928,17.47,0.006916369
13/01/1928,17.58,0.006296566
16/01/1928,17.29,-0.016495961
17/01/1928,17.30,0.000578253
18/01/1928,17.26,-0.002312081
19/01/1928,17.38,0.006952433
20/01/1928,17.48,0.005753798
23/01/1928,17.64,0.009153261
24/01/1928,17.71,0.003968254
25/01/1928,17.52,-0.010728346
26/01/1928,17.63,0.006278482
27/01/1928,17.69,0.003403403
30/01/1928,17.49,-0.011305878
31/01/1928,17.57,0.004574042
01/02/1928,17.53,-0.002276551
02/02/1928,17.63,0.005704392
03/02/1928,17.40,-0.013045888
06/02/1928,17.45,0.002873621
07/02/1928,17.44,-0.000573066
08/02/1928,17.49,0.002866915
09/02/1928,17.55,0.003430475
10/02/1928,17.54,-0.000569687
14/02/1928,17.44,-0.005701254
15/02/1928,17.40,-0.002293635
16/02/1928,17.35,-0.002873563
17/02/1928,17.04,-0.017867378
20/02/1928,16.95,-0.00528169
21/02/1928,17.11,0.009439527
23/02/1928,17.13,0.00116879
24/02/1928,17.18,0.002918914
27/02/1928,17.11,-0.004074447
28/02/1928,17.16,0.002922209
29/02/1928,17.26,0.005827506
01/03/1928,17.30,0.002317439
02/03/1928,17.30,0
05/03/1928,17.57,0.015606995
06/03/1928,17.67,0.00569152
07/03/1928,17.58,-0.005093379
08/03/1928,17.64,0.003412912
09/03/1928,17.93,0.016439967
12/03/1928,18.00,0.003904071
13/03/1928,17.92,-0.004444444
14/03/1928,17.93,0.000558036
15/03/1928,18.07,0.007808143
16/03/1928,18.26,0.010514665
19/03/1928,18.36,0.005476506
20/03/1928,18.46,0.005446514
21/03/1928,18.65,0.010292579
22/03/1928,18.60,-0.002680965
23/03/1928,18.78,0.009677473
26/03/1928,19.05,0.01437689
27/03/1928,18.94,-0.005774174
28/03/1928,18.89,-0.002640021
29/03/1928,18.95,0.00317639
30/03/1928,19.28,0.017414247
02/04/1928,18.91,-0.019190922
03/04/1928,19.02,0.005817028
04/04/1928,18.99,-0.001577287
05/04/1928,19.23,0.012638231
09/04/1928,19.27,0.002080083
10/04/1928,19.10,-0.008822003
11/04/1928,19.44,0.017801099
12/04/1928,19.41,-0.001543261
13/04/1928,19.73,0.016486347
16/04/1928,19.68,-0.002534212
17/04/1928,19.52,-0.008130081
18/04/1928,19.52,0
19/04/1928,19.63,0.005635195
20/04/1928,19.34,-0.014773256
23/04/1928,19.15,-0.009824199
24/04/1928,19.25,0.005221932
25/04/1928,19.33,0.004155844
26/04/1928,19.47,0.007242576
27/04/1928,19.68,0.010785876
30/04/1928,19.75,0.003556911
01/05/1928,19.78,0.001519038
02/05/1928,19.83,0.002527755
03/05/1928,19.93,0.005042864
04/05/1928,20.24,0.015554441
07/05/1928,20.41,0.008399209
08/05/1928,20.27,-0.006859383
09/05/1928,20.24,-0.00148002
10/05/1928,20.21,-0.001482263
11/05/1928,20.36,0.007422168
14/05/1928,20.44,0.003929273
15/05/1928,20.39,-0.002446282
16/05/1928,20.05,-0.016674841
17/05/1928,20.12,0.003491372
18/05/1928,19.92,-0.009940407
21/05/1928,19.63,-0.014558283
22/05/1928,19.36,-0.013754356
23/05/1928,19.75,0.020144575
24/05/1928,19.87,0.006076
25/05/1928,19.90,0.001509763
28/05/1928,19.57,-0.016582915
29/05/1928,19.82,0.012774655
31/05/1928,20.00,0.009081736
01/06/1928,20.07,0.0035
04/06/1928,19.80,-0.013452965
05/06/1928,19.85,0.002525303
06/06/1928,19.66,-0.009571788
07/06/1928,19.61,-0.002543184
08/06/1928,19.37,-0.012238653
11/06/1928,18.68,-0.035622146
12/06/1928,18.34,-0.018201285
13/06/1928,18.89,0.02998904
14/06/1928,19.05,0.00847009
15/06/1928,18.74,-0.016272914
18/06/1928,18.40,-0.01814301
19/06/1928,18.34,-0.00326087
20/06/1928,18.57,0.012540894
21/06/1928,18.56,-0.000538557
22/06/1928,18.54,-0.001077479
25/06/1928,18.47,-0.003775728
26/06/1928,18.68,0.011369844
27/06/1928,18.86,0.009636028
28/06/1928,19.07,0.011134623
29/06/1928,19.14,0.003670635
02/07/1928,18.98,-0.008359405
03/07/1928,19.29,0.016333035
05/07/1928,19.48,0.009849611
06/07/1928,19.39,-0.004620175
09/07/1928,19.46,0.003610108
10/07/1928,19.43,-0.001541573
11/07/1928,18.95,-0.024704014
12/07/1928,18.81,-0.007387968
13/07/1928,18.96,0.007974482
16/07/1928,18.70,-0.013712975
17/07/1928,18.80,0.005347486
18/07/1928,19.03,0.01223415
19/07/1928,18.99,-0.002101997
20/07/1928,19.03,0.002106424
23/07/1928,19.12,0.004729374
24/07/1928,19.09,-0.00156909
25/07/1928,19.20,0.005762232
26/07/1928,19.24,0.002083281
27/07/1928,19.42,0.009355509
30/07/1928,19.47,0.002574614
31/07/1928,19.43,-0.002054391
01/08/1928,19.42,-0.000514668
02/08/1928,19.33,-0.004634398
03/08/1928,19.36,0.001552043
06/08/1928,19.58,0.011363584
07/08/1928,19.49,-0.004596527
08/08/1928,19.25,-0.012314007
09/08/1928,19.30,0.002597351
10/08/1928,19.25,-0.002590622
13/08/1928,19.29,0.002077974
14/08/1928,19.13,-0.008294556
15/08/1928,19.47,0.017773132
16/08/1928,19.61,0.007190653
17/08/1928,19.64,0.00152973
20/08/1928,19.77,0.006619196
21/08/1928,20.02,0.012645422
22/08/1928,20.00,-0.000999001
23/08/1928,20.02,0.001
24/08/1928,20.34,0.015984016
27/08/1928,20.38,0.001966519
28/08/1928,20.54,0.007850933
29/08/1928,20.58,0.001947371
30/08/1928,20.61,0.001457775
31/08/1928,20.87,0.012615235
04/09/1928,20.97,0.004791471
05/09/1928,21.07,0.004768765
06/09/1928,20.94,-0.006169862
07/09/1928,21.09,0.007163276
10/09/1928,20.92,-0.008060692
11/09/1928,21.08,0.007648184
12/09/1928,21.16,0.003795066
13/09/1928,21.14,-0.000945227
14/09/1928,21.14,0
17/09/1928,21.33,0.008987749
18/09/1928,21.18,-0.007032349
19/09/1928,21.18,0
20/09/1928,21.22,0.001888527
21/09/1928,21.36,0.006597644
24/09/1928,21.43,0.003277107
25/09/1928,21.41,-0.000933271
26/09/1928,21.40,-0.000467071
27/09/1928,21.13,-0.012616869
28/09/1928,21.14,0.000473261
01/10/1928,21.36,0.010406907
